ja;n;jp;s;sc;madm;mev;mabs;nro;nmate;lm;nlm;h;sp
B;B10642569;MUNICIPIUL BUCURESTI;Școala Gimnazială nr. 49;298;9.03;8.85;9.78;8.40;9.30;-;-;<b>Liceul Teoretic Alexandru Ioan Cuza</b><br/>Real/Liceal/Zi;<b>(251) Matematică-Informatică</b><br/>Limba română
B;B10607936;MUNICIPIUL BUCURESTI;Şcoala Gimnazială Ienăchiţă Văcărescu;172;9.27;9.12;9.91;9.45;8.80;-;-;<b>Colegiul Național Matei Basarab</b><br/>Umanist/Liceal/Zi;<b>(250) Ştiinţe Sociale</b><br/>Limba română
B;B10879091;MUNICIPIUL BUCURESTI;Liceul Teoretic Jean Monnet;137;8.76;8.65;9.22;8.40;8.90;-;-;<b>Liceul Teoretic Jean Monnet</b><br/>Umanist/Liceal/Zi;<b>(132) Ştiinţe Sociale</b><br/>Limba română
B;B11012582;MUNICIPIUL BUCURESTI;Şcoala Gimnazială nr. 156;223;9.36;9.25;9.84;9.05;9.45;-;-;<b>Colegiul Naţional Grigore Moisil</b><br/>Umanist/Liceal/Zi;<b>(359) Ştiinţe Sociale</b><br/>Limba română
B;B8203491;MUNICIPIUL BUCURESTI;Şcoala Gimnazială Nicolae Titulescu;178;9.19;9.05;9.75;9.05;9.05;-;-;<b>Colegiul Național ”Iulia Hașdeu”</b><br/>Real/Liceal/Zi;<b>(185) Matematică-Informatică</b><br/>Limba română
B;B11088977;MUNICIPIUL BUCURESTI;Şcoala Gimnazială nr. 131;213;9.58;9.50;9.94;9.35;9.65;-;-;<b>Colegiul Economic V. Madgearu</b><br/>Servicii/Liceal/Zi;<b>(156) Economic</b><br/>Limba română
B;B11071665;MUNICIPIUL BUCURESTI;Şcoala Gimnazială George Călinescu;166;6.49;5.85;9.05;7.55;4.15;-;-;<b>Liceul Tehnologic Elie Radu</b><br/>Servicii/Liceal/Zi;<b>(287) Economic</b><br/>Limba română
B;B10809010;MUNICIPIUL BUCURESTI;Școala Gimnazială ”George Bacovia”;323;8.64;8.35;9.80;8.55;8.15;-;-;<b>Liceul Teoretic Tudor Vladimirescu</b><br/>Umanist/Liceal/Zi;<b>(367) Ştiinţe Sociale</b><br/>Limba română
B;IF8903379;ILFOV;ȘCOALA GIMNAZIALĂ NR. 1, 1 DECEMBRIE;157;8.23;7.97;9.30;8.70;7.25;-;-;<b>Liceul Teoretic George Călinescu</b><br/>Umanist/Liceal/Zi;<b>(165) Filologie</b><br/>Limba română
B;B10469516;MUNICIPIUL BUCURESTI;Şcoala Gimnazială nr. 150;221;7.59;7.22;9.10;8.25;6.20;-;-;<b>Liceul Teoretic Dimitrie Bolintineanu</b><br/>Umanist/Liceal/Zi;<b>(330) Ştiinţe Sociale</b><br/>Limba română
B;B10778607;MUNICIPIUL BUCURESTI;Şcoala Gimnazială Pia Brătianu;182;9.19;9.02;9.89;9.05;9.00;-;-;<b>Colegiul Naţional I.L.Caragiale</b><br/>Real/Liceal/Zi;<b>(106) Matematică-Informatică</b><br/>Limba română/Limba germană
B;B10771708;MUNICIPIUL BUCURESTI;Școala Gimnazială nr. 56;302;7.03;6.60;8.79;7.10;6.10;-;-;<b>Liceul Teoretic ”Traian”</b><br/>Real/Liceal/Zi;<b>(223) Ştiinţe ale Naturii</b><br/>Limba română
B;B11002174;MUNICIPIUL BUCURESTI;Școala Gimnazială nr. 28;288;8.95;8.72;9.90;8.70;8.75;-;-;<b>Școala Superioară Comercială Nicolae Kretzulescu</b><br/>Servicii/Liceal/Zi;<b>(270) Economic</b><br/>Limba română
B;IF8106996;ILFOV;ȘCOALA GIMNAZIALĂ ALEXANDRU ODOBESCU CHIAJNA;126;8.31;7.92;9.91;8.50;7.35;-;-;<b>Liceul Teoretic Tudor Vladimirescu</b><br/>Umanist/Liceal/Zi;<b>(366) Filologie</b><br/>Limba română
B;CL9861226;CALARASI;SCOALA GIMNAZIALA NR.2 DOR MARUNT GARA;176;8.93;8.67;9.97;8.95;8.40;-;-;<b>Liceul Teoretic ”C.A. Rosetti”</b><br/>Real/Liceal/Zi;<b>(218) Matematică-Informatică</b><br/>Limba română
B;B11069348;MUNICIPIUL BUCURESTI;Şcoala Gimnazială George Călinescu;166;5.80;4.87;9.53;7.25;2.50;-;-;<b>Colegiul Tehnic Energetic</b><br/>Real/Liceal/Zi;<b>(335) Matematică-Informatică</b><br/>Limba română
B;B10480658;MUNICIPIUL BUCURESTI;Școala Gimnazială ”Mărțișor”;327;8.68;8.47;9.53;8.25;8.70;-;-;<b>Liceul Teoretic ”C.A. Rosetti”</b><br/>Real/Liceal/Zi;<b>(219) Ştiinţe ale Naturii</b><br/>Limba română
B;B10125678;MUNICIPIUL BUCURESTI;Școala Gimnazială Nicolae Labiș;265;8.43;8.10;9.76;7.55;8.65;-;-;<b>Liceul Teoretic ”C.A. Rosetti”</b><br/>Real/Liceal/Zi;<b>(219) Ştiinţe ale Naturii</b><br/>Limba română
B;B10736325;MUNICIPIUL BUCURESTI;Şcoala Gimnazială Mircea Sântimbreanu;176;8.14;7.75;9.73;9.30;6.20;-;-;<b>Colegiul Tehnic ”Dimitrie Leonida”</b><br/>Tehnic/Liceal/Zi;<b>(230) Mecanică</b><br/>Limba română
B;B10938279;MUNICIPIUL BUCURESTI;Școala Gimnazială Metropolitană Arc;272;9.39;9.27;9.91;9.25;9.30;-;-;<b>Colegiul Național ”Mihai Viteazul”</b><br/>Real/Liceal/Zi;<b>(180) Matematică-Informatică</b><br/>Limba română
B;B10731752;MUNICIPIUL BUCURESTI;Şcoala Gimnazială Mircea Sântimbreanu;176;7.49;7.07;9.21;7.10;7.05;-;-;<b>Liceul Teoretic C-tin Brâncoveanu</b><br/>Umanist/Liceal/Zi;<b>(136) Ştiinţe Sociale</b><br/>Limba română
B;B9188653;MUNICIPIUL BUCURESTI;Școala Gimnazială nr. 88;315;9.04;8.85;9.82;9.00;8.70;-;-;<b>Liceul Teoretic Alexandru Ioan Cuza</b><br/>Real/Liceal/Zi;<b>(252) Ştiinţe ale Naturii</b><br/>Limba română
B;CL10495360;CALARASI;SCOALA GIMNAZIALA NR.2 PROGRESU;179;7.07;6.45;9.59;6.75;6.15;-;-;<b>Liceul Teoretic ”Lucian Blaga”</b><br/>Umanist/Liceal/Zi;<b>(214) Ştiinţe Sociale</b><br/>Limba română
B;B10719488;MUNICIPIUL BUCURESTI;Școala Gimnazială nr. 92;316;9.02;8.82;9.86;9.10;8.55;-;-;<b>Colegiul Economic V. Madgearu</b><br/>Servicii/Liceal/Zi;<b>(156) Economic</b><br/>Limba română
B;B10594972;MUNICIPIUL BUCURESTI;Şcoala Gimnazială Vasile Alecsandri;193;6.79;6.37;8.51;6.60;6.15;-;-;<b>Colegiul Economic Viilor</b><br/>Servicii/Liceal/Zi;<b>(350) Turism şi alimentaţie</b><br/>Limba română
B;B11045018;MUNICIPIUL BUCURESTI;Școala Gimnazială nr. 88;315;8.78;8.60;9.53;8.50;8.70;-;-;<b>Colegiul Economic V. Madgearu</b><br/>Servicii/Liceal/Zi;<b>(156) Economic</b><br/>Limba română
B;B10700762;MUNICIPIUL BUCURESTI;Şcoala Gimnazială nr. 163;226;4.68;3.92;7.74;3.50;4.35;-;-;<b>Liceul Tehnologic Petru Poni</b><br/>Tehnic/Liceal/Zi;<b>(384) Electric</b><br/>Limba română
B;B10798043;MUNICIPIUL BUCURESTI;Liceul Pedagogic Anastasia Popescu;127;8.80;8.57;9.74;9.00;8.15;-;-;<b>Colegiul Național Școala Centrală”</b><br/>Umanist/Liceal/Zi;<b>(202) Filologie</b><br/>Limba română
B;B10777556;MUNICIPIUL BUCURESTI;Şcoala Gimnazială Pia Brătianu;182;9.81;9.77;10.00;9.55;10.00;-;-;<b>Colegiul Naţional de Informatică Tudor Vianu</b><br/>Real/Liceal/Zi;<b>(115) Matematică-Informatică</b><br/>Limba română
B;GR10274478;GIURGIU;ȘCOALA GIMNAZIALĂ NR.1 COSOBA;122;8.38;8.07;9.65;8.80;7.35;-;-;<b>Colegiul Tehnic Petru Maior</b><br/>Real/Liceal/Zi;<b>(378) Matematică-Informatică</b><br/>Limba română
B;B10832079;MUNICIPIUL BUCURESTI;Școala Gimnazială nr. 200;284;4.56;3.82;7.52;5.15;2.50;-;-;<b>Liceul Tehnologic Ion I.C. Brătianu</b><br/>Tehnic/Liceal/Zi;<b>(239) Mecanică</b><br/>Limba română
B;B10832060;MUNICIPIUL BUCURESTI;Școala Gimnazială nr. 200;284;4.92;4.27;7.52;4.55;4.00;-;-;<b>Colegiul Tehnic Mihai Bravu</b><br/>Real/Liceal/Zi;<b>(282) Ştiinţe ale Naturii</b><br/>Limba română
B;B10724102;MUNICIPIUL BUCURESTI;Școala Gimnazială Leonardo Da Vinci;260;8.97;8.92;9.20;8.15;9.70;-;-;<b>Liceul Teoretic Alexandru Ioan Cuza</b><br/>Real/Liceal/Zi;<b>(251) Matematică-Informatică</b><br/>Limba română
B;B10799688;MUNICIPIUL BUCURESTI;Școala Gimnazială ”George Bacovia”;323;9.27;9.12;9.88;8.65;9.60;-;-;<b>Colegiul Național Matei Basarab</b><br/>Real/Liceal/Zi;<b>(247) Matematică-Informatică</b><br/>Limba română
B;IF8009595;ILFOV;ȘCOALA GIMNAZIALA NR. 1 CERNICA;123;6.33;5.70;8.86;6.80;4.60;-;-;<b>Liceul Teoretic ”Lucian Blaga”</b><br/>Real/Liceal/Zi;<b>(211) Matematică-Informatică</b><br/>Limba română
B;B10707772;MUNICIPIUL BUCURESTI;Școala Gimnazială nr. 308;289;7.55;7.12;9.29;7.70;6.55;-;-;<b>Liceul Teoretic Decebal</b><br/>Umanist/Liceal/Zi;<b>(266) Filologie</b><br/>Limba română
B;B11007267;MUNICIPIUL BUCURESTI;Liceul Teoretic Nicolae Iorga;141;9.13;9.00;9.69;9.45;8.55;-;-;<b>Colegiul Naţional Grigore Moisil</b><br/>Umanist/Liceal/Zi;<b>(358) Filologie</b><br/>Limba română
B;B10529532;MUNICIPIUL BUCURESTI;Școala Gimnazială Metropolitană Arc;272;9.32;9.22;9.72;9.15;9.30;-;-;<b>Colegiul Naţional I.L.Caragiale</b><br/>Real/Liceal/Zi;<b>(105) Matematică-Informatică</b><br/>Limba română
B;B10918490;MUNICIPIUL BUCURESTI;Școala Gimnazială nr. 32;291;7.63;7.07;9.91;7.55;6.60;-;-;<b>Liceul Teoretic ”Lucian Blaga”</b><br/>Umanist/Liceal/Zi;<b>(213) Filologie</b><br/>Limba română
B;B10649440;MUNICIPIUL BUCURESTI;Școala Gimnazială nr. 49;298;8.07;7.70;9.55;7.90;7.50;-;-;<b>Colegiul Economic ”A.D.Xenopol”</b><br/>Servicii/Liceal/Zi;<b>(242) Economic</b><br/>Limba română
B;B10712077;MUNICIPIUL BUCURESTI;Şcoala Gimnazială Constantin Brâncuşi;160;8.80;8.55;9.83;7.10;10.00;-;-;<b>Liceul Teoretic Ion Barbu</b><br/>Real/Liceal/Zi;<b>(324) Matematică-Informatică</b><br/>Limba română
B;IF12497355;ILFOV;ȘCOALA GIMNAZIALĂ ”ANTON PANN” VOLUNTARI;177;5.31;4.60;8.15;4.10;5.10;-;-;<b>Liceul Teoretic Bulgar Hristo Botev</b><br/>Real/Liceal/Zi;<b>(149) Matematică-Informatică</b><br/>Limba română
B;B10723949;MUNICIPIUL BUCURESTI;Școala Gimnazială „Sfântul Calinic de la Cernica”;332;6.72;6.30;8.44;6.00;6.60;-;-;<b>Liceul Teoretic Bulgar Hristo Botev</b><br/>Umanist/Liceal/Zi;<b>(150) Filologie</b><br/>Limba română
B;B10475728;MUNICIPIUL BUCURESTI;Şcoala Gimnazială nr. 150;221;9.19;9.02;9.88;8.95;9.10;-;-;<b>Colegiul Naţional Gheorghe Şincai</b><br/>Umanist/Liceal/Zi;<b>(299) Filologie</b><br/>Limba română
B;B10910359;MUNICIPIUL BUCURESTI;Școala Gimnazială Cezar Bolliac;269;8.61;8.37;9.58;8.65;8.10;-;-;<b>Liceul Teoretic Bilingv Miguel de Cervantes</b><br/>Umanist/Liceal/Zi;<b>(147) Filologie</b><br/>Limba română
B;IF8462454;ILFOV;ȘCOALA GIMNAZIALA NR. 1 BALOTESTI;122;9.32;9.22;9.72;9.00;9.45;-;-;<b>Colegiul Naţional Ion Neculce</b><br/>Umanist/Liceal/Zi;<b>(129) Ştiinţe Sociale</b><br/>Limba română
B;B10910637;MUNICIPIUL BUCURESTI;Şcoala Gimnazială nr. 280;243;8.50;8.20;9.71;8.60;7.80;-;-;<b>Liceul Teoretic Ion Barbu</b><br/>Umanist/Liceal/Zi;<b>(326) Ştiinţe Sociale</b><br/>Limba română
B;B10777593;MUNICIPIUL BUCURESTI;Şcoala Gimnazială Pia Brătianu;182;9.51;9.40;9.98;9.20;9.60;-;-;<b>Colegiul Național ”Spiru Haret”</b><br/>Real/Liceal/Zi;<b>(193) Ştiinţe ale Naturii</b><br/>Limba română
B;TR8758976;TELEORMAN;ȘCOALA GIMNAZIALĂ NR. 1 DOBROTEȘTI;163;8.21;7.97;9.19;8.20;7.75;-;-;<b>Colegiul Economic ”Hermes”</b><br/>Servicii/Liceal/Zi;<b>(244) Economic</b><br/>Limba română
B;B10776468;MUNICIPIUL BUCURESTI;Şcoala Gimnazială Sfinţii Constantin și Elena;188;9.05;8.87;9.80;8.85;8.90;-;-;<b>Colegiul Naţional Elena Cuza</b><br/>Umanist/Liceal/Zi;<b>(354) Filologie</b><br/>Limba română/Limba engleză
B;B11082671;MUNICIPIUL BUCURESTI;Şcoala Gimnazială Ion I.C. Brătianu;174;7.67;7.25;9.36;7.70;6.80;-;-;<b>Liceul Teoretic Dimitrie Bolintineanu</b><br/>Real/Liceal/Zi;<b>(327) Matematică-Informatică</b><br/>Limba română
B;B10754904;MUNICIPIUL BUCURESTI;Liceul Teoretic Decebal;132;6.61;6.07;8.78;6.65;5.50;-;-;<b>Liceul Tehnologic Dragomir Hurmuzescu</b><br/>Servicii/Liceal/Zi;<b>(290) Estetica şi igiena corpului omenesc</b><br/>Limba română
B;B10623942;MUNICIPIUL BUCURESTI;Școala Gimnazială nr. 27;287;8.33;8.07;9.40;8.70;7.45;-;-;<b>Colegiul Economic V. Madgearu</b><br/>Servicii/Liceal/Zi;<b>(156) Economic</b><br/>Limba română
B;B8451598;MUNICIPIUL BUCURESTI;Școala Gimnazială nr. 81;311;5.86;5.15;8.70;6.80;3.50;-;-;<b>Liceul Tehnologic Dimitrie Gusti</b><br/>Umanist/Liceal/Zi;<b>(343) Ştiinţe Sociale</b><br/>Limba română
B;IF11120064;ILFOV;ȘCOALA GIMNAZIALĂ PRO INGENIO BRAGADIRU;132;9.35;9.22;9.90;9.15;9.30;-;-;<b>Colegiul Naţional Gheorghe Şincai</b><br/>Real/Liceal/Zi;<b>(297) Matematică-Informatică</b><br/>Limba română
B;B11013441;MUNICIPIUL BUCURESTI;Şcoala Gimnazială nr. 156;223;7.33;6.97;8.77;7.25;6.70;-;-;<b>Liceul Teoretic C-tin Brâncoveanu</b><br/>Umanist/Liceal/Zi;<b>(136) Ştiinţe Sociale</b><br/>Limba română
B;B10790309;MUNICIPIUL BUCURESTI;Școala Gimnazială nr. 51;299;7.25;6.90;8.68;6.60;7.20;-;-;<b>Liceul Teoretic ”Lucian Blaga”</b><br/>Umanist/Liceal/Zi;<b>(213) Filologie</b><br/>Limba română
B;B10728121;MUNICIPIUL BUCURESTI;Școala Gimnazială nr. 92;316;8.44;8.12;9.72;9.45;6.80;-;-;<b>Liceul Teoretic Benjamin Franklin</b><br/>Real/Liceal/Zi;<b>(261) Ştiinţe ale Naturii</b><br/>Limba română
B;B9984355;MUNICIPIUL BUCURESTI;Şcoala Gimnazială nr. 280;243;9.14;9.00;9.74;9.10;8.90;-;-;<b>Colegiul Naţional Ion Creangă</b><br/>Real/Liceal/Zi;<b>(302) Ştiinţe ale Naturii</b><br/>Limba română
B;B10728641;MUNICIPIUL BUCURESTI;Școala Gimnazială nr. 195;282;8.79;8.55;9.79;7.60;9.50;-;-;<b>Colegiul Naţional Ion Neculce</b><br/>Real/Liceal/Zi;<b>(125) Ştiinţe ale Naturii</b><br/>Limba română
B;B10654872;MUNICIPIUL BUCURESTI;Liceul Teoretic Bilingv Miguel de Cervantes;143;8.12;7.80;9.40;7.80;7.80;-;-;<b>Liceul Teoretic Bilingv Miguel de Cervantes</b><br/>Real/Liceal/Zi;<b>(146) Matematică-Informatică</b><br/>Limba română/Limba spaniolă
B;B11101691;MUNICIPIUL BUCURESTI;Şcoala Gimnazială nr. 127;209;5.76;5.15;8.21;5.95;4.35;-;-;<b>Liceul Tehnologic Dimitrie Gusti</b><br/>Real/Liceal/Zi;<b>(342) Ştiinţe ale Naturii</b><br/>Limba română
B;B10768416;MUNICIPIUL BUCURESTI;Şcoala Gimnazială nr. 179;231;4.96;4.40;7.21;4.30;4.50;-;-;<b>Colegiul Tehnic Media</b><br/>Tehnic/Liceal/Zi;<b>(161) Producţie media</b><br/>Limba română
B;IF10132124;ILFOV;ȘCOALA GIMNAZIALĂ PROF. ION VIŞOIU CHITILA;134;6.12;5.60;8.23;5.90;5.30;-;-;<b>Colegiul Tehnic Media</b><br/>Tehnic/Liceal/Zi;<b>(161) Producţie media</b><br/>Limba română
B;B9515069;MUNICIPIUL BUCURESTI;Colegiul Naţional I.L.Caragiale;107;9.81;9.77;9.99;9.65;9.90;-;-;<b>Colegiul Naţional Gheorghe Lazăr</b><br/>Real/Liceal/Zi;<b>(320) Matematică-Informatică</b><br/>Limba română
B;B10999197;MUNICIPIUL BUCURESTI;Şcoala Gimnazială nr. 194;238;6.68;6.02;9.33;7.35;4.70;-;-;<b>Liceul Greco-Catolic Timotei Cipariu</b><br/>Real/Liceal/Zi;<b>(155) Matematică-Informatică</b><br/>Limba română
B;B11075361;MUNICIPIUL BUCURESTI;Liceul Teoretic Scoala Europeana Bucuresti;148;9.93;9.92;10.00;9.85;10.00;-;-;<b>Colegiul Naţional de Informatică Tudor Vianu</b><br/>Real/Liceal/Zi;<b>(115) Matematică-Informatică</b><br/>Limba română
B;B10859214;MUNICIPIUL BUCURESTI;Școala Gimnazială ”George Bacovia”;323;7.47;7.10;8.95;5.95;8.25;-;-;<b>Colegiul Național ”Victor Babeș”</b><br/>Real/Liceal/Zi;<b>(207) Ştiinţe ale Naturii</b><br/>Limba română
B;B10767788;MUNICIPIUL BUCURESTI;Școala Gimnazială nr. 56;302;8.49;8.15;9.87;8.60;7.70;-;-;<b>Colegiul Național ”Iulia Hașdeu”</b><br/>Umanist/Liceal/Zi;<b>(189) Filologie</b><br/>Limba română/Limba spaniolă
B;B13187028;MUNICIPIUL BUCURESTI;Școala Gimnazială nr. 85;313;7.75;7.30;9.58;8.05;6.55;-;-;<b>Liceul Teoretic ”Traian”</b><br/>Umanist/Liceal/Zi;<b>(224) Filologie</b><br/>Limba română
B;B10518119;MUNICIPIUL BUCURESTI;Școala Gimnazială nr. 39;292;8.72;8.42;9.94;9.10;7.75;-;-;<b>Liceul Teoretic ”C.A. Rosetti”</b><br/>Real/Liceal/Zi;<b>(219) Ştiinţe ale Naturii</b><br/>Limba română
B;B10903934;MUNICIPIUL BUCURESTI;Şcoala Gimnazială I. G. Duca;170;9.39;9.27;9.88;9.25;9.30;-;-;<b>Colegiul Național ”Spiru Haret”</b><br/>Umanist/Liceal/Zi;<b>(195) Ştiinţe Sociale</b><br/>Limba română
B;B10629597;MUNICIPIUL BUCURESTI;Liceul Teoretic Jean Monnet;137;5.74;5.22;7.86;6.45;4.00;-;-;<b>Colegiul Tehnic de Aeronautică Henri Coandă</b><br/>Tehnic/Liceal/Zi;<b>(169) Electromecanică</b><br/>Limba română
B;B10754201;MUNICIPIUL BUCURESTI;Școala Gimnazială nr. 80;310;7.03;6.65;8.58;7.00;6.30;-;-;<b>Liceul Teoretic Decebal</b><br/>Umanist/Liceal/Zi;<b>(267) Filologie</b><br/>Limba română/Limba engleză
B;B10908180;MUNICIPIUL BUCURESTI;Colegiul German Goethe;103;9.10;8.91;9.89;9.15;8.15;Limba germană;sept.45;<b>Colegiul German Goethe</b><br/>Real/Liceal/Zi;<b>(121) Matematică-Informatică</b><br/>Limba germană
B;IF8208235;ILFOV;LICEUL TEORETIC LITTLE LONDON PIPERA VOLUNTARI;108;9.97;10.00;9.86;10.00;10.00;-;-;<b>Colegiul Naţional Gheorghe Lazăr</b><br/>Real/Liceal/Zi;<b>(320) Matematică-Informatică</b><br/>Limba română
B;B13377224;MUNICIPIUL BUCURESTI;Școala Gimnazială Cezar Bolliac;269;8.08;7.72;9.53;7.35;8.10;-;-;<b>Colegiul Economic ”A.D.Xenopol”</b><br/>Servicii/Liceal/Zi;<b>(242) Economic</b><br/>Limba română
B;B11006679;MUNICIPIUL BUCURESTI;Liceul Teoretic Nicolae Iorga;141;7.84;7.50;9.23;7.40;7.60;-;-;<b>Colegiul Tehnic Mecanic Griviţa</b><br/>Umanist/Liceal/Zi;<b>(162) Filologie</b><br/>Limba română
B;B11144424;MUNICIPIUL BUCURESTI;Şcoala Gimnazială nr. 117;204;9.53;9.42;9.97;9.30;9.55;-;-;<b>Colegiul Naţional Gheorghe Şincai</b><br/>Real/Liceal/Zi;<b>(297) Matematică-Informatică</b><br/>Limba română
B;B11083125;MUNICIPIUL BUCURESTI;Şcoala Gimnazială nr. 96;251;6.57;6.25;7.89;6.00;6.50;-;-;<b>Colegiul Tehnic Mihai Bravu</b><br/>Servicii/Liceal/Zi;<b>(283) Turism şi alimentaţie</b><br/>Limba română
B;B11083120;MUNICIPIUL BUCURESTI;Şcoala Gimnazială nr. 96;251;6.60;6.07;8.73;5.10;7.05;-;-;<b>Liceul Teoretic Decebal</b><br/>Umanist/Liceal/Zi;<b>(268) Ştiinţe Sociale</b><br/>Limba română
B;B10730202;MUNICIPIUL BUCURESTI;Școala Gimnazială Leonardo Da Vinci;260;9.43;9.30;9.96;9.45;9.15;-;-;<b>Colegiul Național Matei Basarab</b><br/>Real/Liceal/Zi;<b>(247) Matematică-Informatică</b><br/>Limba română
B;B7001701;MUNICIPIUL BUCURESTI;LICEUL TEORETIC SCOALA MEA;122;9.12;9.00;9.63;9.00;9.00;-;-;<b>Liceul Teoretic Nicolae Iorga</b><br/>Real/Liceal/Zi;<b>(137) Matematică-Informatică</b><br/>Limba română
B;B10873290;MUNICIPIUL BUCURESTI;Şcoala Gimnazială Petre Ghelmez;180;6.52;6.10;8.20;6.40;5.80;-;-;<b>Liceul Tehnologic de Metrologie Traian Vuia</b><br/>Real/Liceal/Zi;<b>(311) Ştiinţe ale Naturii</b><br/>Limba română
B;B10908196;MUNICIPIUL BUCURESTI;Colegiul German Goethe;103;7.93;7.55;9.49;8.75;5.00;Limba germană;aug.90;<b>Colegiul German Goethe</b><br/>Real/Liceal/Zi;<b>(121) Matematică-Informatică</b><br/>Limba germană
B;B10995372;MUNICIPIUL BUCURESTI;Şcoala Gimnazială Sf. Nicolae;186;7.14;6.87;8.26;7.30;6.45;-;-;<b>Liceul Teoretic C-tin Brâncoveanu</b><br/>Real/Liceal/Zi;<b>(134) Ştiinţe ale Naturii</b><br/>Limba română
B;B10799414;MUNICIPIUL BUCURESTI;Şcoala Gimnazială Titu Maiorescu;191;6.06;5.45;8.52;5.35;5.55;-;-;<b>Colegiul Tehnic ”Edmond Nicolau”</b><br/>Tehnic/Liceal/Zi;<b>(227) Electronică automatizări</b><br/>Limba română
B;B10777626;MUNICIPIUL BUCURESTI;Şcoala Gimnazială Pia Brătianu;182;9.21;9.07;9.81;8.65;9.50;-;-;<b>Liceul Teoretic Nicolae Iorga</b><br/>Real/Liceal/Zi;<b>(137) Matematică-Informatică</b><br/>Limba română
B;B13468106;MUNICIPIUL BUCURESTI;Școala Gimnazială nr. 46;296;8.76;8.52;9.74;8.45;8.60;-;-;<b>Liceul Teoretic ”Mihail Sadoveanu”</b><br/>Real/Liceal/Zi;<b>(215) Matematică-Informatică</b><br/>Limba română
B;B10917623;MUNICIPIUL BUCURESTI;Colegiul German Goethe;103;9.67;9.68;9.66;9.60;9.65;Limba germană;sept.80;<b>Colegiul German Goethe</b><br/>Real/Liceal/Zi;<b>(120) Teor.real spec.germană</b><br/>Limba germană
B;B12845988;MUNICIPIUL BUCURESTI;Școala Gimnazială nr. 46;296;6.02;5.35;8.70;5.20;5.50;-;-;<b>Liceul Tehnologic ”Constantin Brâncuși”</b><br/>Servicii/Liceal/Zi;<b>(235) Turism şi alimentaţie</b><br/>Limba română
B;B10856386;MUNICIPIUL BUCURESTI;Colegiul Naţional Mihai Eminescu;109;8.45;8.17;9.61;8.25;8.10;-;-;<b>Liceul Teoretic ”C.A. Rosetti”</b><br/>Real/Liceal/Zi;<b>(219) Ştiinţe ale Naturii</b><br/>Limba română
B;B12865082;MUNICIPIUL BUCURESTI;Şcoala Gimnazială nr. 7;249;8.20;8.00;9.01;8.40;7.60;-;-;<b>Colegiul Tehnic Gheorghe Asachi</b><br/>Tehnic/Liceal/Zi;<b>(396) Producţie media</b><br/>Limba română
B;B10016739;MUNICIPIUL BUCURESTI;Școala Gimnazială nr. 77;307;5.01;4.10;8.67;4.20;4.00;-;-;<b>Colegiul Tehnic Mihai Bravu</b><br/>Tehnic/Liceal/Zi;<b>(285) Mecanică</b><br/>Limba română
B;B10798095;MUNICIPIUL BUCURESTI;Liceul Pedagogic Anastasia Popescu;127;9.71;9.65;9.96;9.30;10.00;-;-;<b>Colegiul Național Bilingv ”George Coșbuc”</b><br/>Real/Liceal/Zi;<b>(196) Matematică-Informatică</b><br/>Limba română/Limba engleză
B;B10584543;MUNICIPIUL BUCURESTI;Şcoala Gimnazială Sfântul Andrei;190;8.08;7.82;9.15;7.50;8.15;-;-;<b>Liceul Teoretic Tudor Vladimirescu</b><br/>Umanist/Liceal/Zi;<b>(367) Ştiinţe Sociale</b><br/>Limba română
B;B11088347;MUNICIPIUL BUCURESTI;Școala Gimnazială Leonardo Da Vinci;260;8.97;8.80;9.65;8.00;9.60;-;-;<b>Liceul Teoretic Alexandru Ioan Cuza</b><br/>Real/Liceal/Zi;<b>(251) Matematică-Informatică</b><br/>Limba română
B;B11067371;MUNICIPIUL BUCURESTI;Şcoala Gimnazială nr. 133;214;8.56;8.40;9.22;8.30;8.50;-;-;<b>Liceul Teoretic Jean Monnet</b><br/>Umanist/Liceal/Zi;<b>(132) Ştiinţe Sociale</b><br/>Limba română
B;B10628993;MUNICIPIUL BUCURESTI;Colegiul Naţional I.L.Caragiale;107;9.63;9.55;9.97;9.65;9.45;-;-;<b>Colegiul Naţional I.L.Caragiale</b><br/>Real/Liceal/Zi;<b>(106) Matematică-Informatică</b><br/>Limba română/Limba germană
B;IF8827774;ILFOV;ŞCOALA GIMNAZIALA NR. 1 PANTELIMON;116;5.69;5.17;7.77;6.35;4.00;-;-;<b>Colegiul Tehnic Anghel Saligny</b><br/>Resurse naturale și protecția mediului/Liceal/Zi;<b>(281) Protecţia mediului</b><br/>Limba română
B;B10790342;MUNICIPIUL BUCURESTI;Colegiul Național Bilingv ”George Coșbuc”;114;9.75;9.70;9.96;9.80;9.60;-;-;<b>Colegiul Naţional Gheorghe Lazăr</b><br/>Real/Liceal/Zi;<b>(321) Ştiinţe ale Naturii</b><br/>Limba română
B;B588251;MUNICIPIUL BUCURESTI;Școala Gimnazială nr. 78;308;6.84;6.45;8.42;6.90;6.00;-;-;<b>Colegiul Tehnic de Poştă și Telecomunicaţii Gheorghe Airinei</b><br/>Umanist/Liceal/Zi;<b>(374) Ştiinţe Sociale</b><br/>Limba română
